Name,LSFormula,RT,Calc Mass,Class,FA,FA Group Key,MainIon,,,
PI(16:0_18:3) +NH4,C43 H77 O13 N0 P1,7.306,832.5102,PI,16:0_18:3,34:03:00,#REF!,,,
PC(20:0_8:0),C36 H72 O8 N1 P1,7.32,677.4996,PC,20:0_8:0,28:00:00,#NAME?,,,
PI(18:1_18:3) +NH4,C45 H79 O13 N0 P1,7.425,858.5258,PI,18:1_18:3,36:04:00,#REF!,,,
DG(12:0e_22:3),C37 H68 O4,7.427,576.5118,DG,12:0e_22:3,34:3e,#NAME?,,,
PI(28:1_6:0),C43 H81 O13 N0 P1,7.43,836.5415,PI,28:1_6:0,34:01:00,#NAME?,,,
PC(16:1_14:0),C38 H74 O8 N1 P1,7.436,703.5152,PC,16:1_14:0,30:01:00,#NAME?,,,
PC(18:3_18:2),C44 H78 O8 N1 P1,7.45,779.5465,PC,18:3_18:2,36:05:00,#NAME?,,,
PS(16:0_18:3),C40 H72 O10 N1 P1,7.466,757.4894,PS,16:0_18:3,34:03:00,#NAME?,,,
PS(16:0_16:0),C38 H74 O10 N1 P1,7.47,735.505,PS,16:0_16:0,32:00:00,#NAME?,,,
PC(22:2_11:1),C41 H76 O8 N1 P1,7.51,741.5309,PC,22:2_11:1,33:03:00,#NAME?,,,
TG(4:0_12:3_14:1) +NH4,C33 H54 O6,7.515,546.392,TG,4:0_12:3_14:1,30:04:00,#REF!,,,
TG(18:3_10:4_20:4) +NH4,C51 H76 O6,7.53,784.5642,TG,18:3_10:4_20:4,48:11:00,#REF!,,,
PG(18:2_18:2) +NH4,C42 H75 O10 N0 P1,7.549,770.5098,PG,18:2_18:2,36:04:00,#REF!,,,
PI(16:0_18:3) +NH4,C43 H77 O13 N0 P1,7.558,832.5102,PI,16:0_18:3,34:03:00,#REF!,,,
PC(12:0_22:5),C42 H74 O8 N1 P1,7.563,751.5152,PC,12:0_22:5,34:05:00,#NAME?,,,
PI(16:0_16:0),C41 H79 O13 N0 P1,7.564,810.5258,PI,16:0_16:0,32:00:00,#NAME?,,,
PS(18:1_18:3),C42 H74 O10 N1 P1,7.573,783.505,PS,18:1_18:3,36:04:00,#NAME?,,,
PC(16:1_16:1),C40 H76 O8 N1 P1,7.578,729.5309,PC,16:1_16:1,32:02:00,#NAME?,,,
PG(24:1_10:2) +NH4,C40 H73 O10 N0 P1,7.63,744.4941,PG,24:1_10:2,34:03:00,#REF!,,,
DG(8:0e_24:2),C35 H66 O4,7.632,550.4961,DG,8:0e_24:2,32:2e,#NAME?,,,
